File Path,mata: Count,void Count
fmwww.bc.edu/repec/bocode/_/_gelap.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gelap2.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gentropy.ado,0,0
fmwww.bc.edu/repec/bocode/_/_genv.ado,0,0
fmwww.bc.edu/repec/bocode/_/_genx.ado,0,0
fmwww.bc.edu/repec/bocode/_/_geoframe_generate_plevel.ado,2,4
fmwww.bc.edu/repec/bocode/_/_geoframe_spjoin.ado,4,1
fmwww.bc.edu/repec/bocode/_/_geom.ado,0,0
fmwww.bc.edu/repec/bocode/_/_geomd.ado,0,0
fmwww.bc.edu/repec/bocode/_/_geoplot_bar.ado,2,4
fmwww.bc.edu/repec/bocode/_/_geoplot_label.ado,0,0
fmwww.bc.edu/repec/bocode/_/_geoplot_pie.ado,2,3
fmwww.bc.edu/repec/bocode/_/_geoplot_symbol.ado,3,1
fmwww.bc.edu/repec/bocode/_/_get_version.ado,3,0
fmwww.bc.edu/repec/bocode/_/_getcensus_catalog.ado,0,0
fmwww.bc.edu/repec/bocode/_/_getcensus_expand_keyword.ado,0,0
fmwww.bc.edu/repec/bocode/_/_getcensus_geo_args.ado,0,0
fmwww.bc.edu/repec/bocode/_/_getcensus_parse_geography.ado,0,0
fmwww.bc.edu/repec/bocode/_/_getmxdatabanxico.ado,0,0
fmwww.bc.edu/repec/bocode/_/_getmxdatabie.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gewma.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gfastwpctile.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gfastxtile.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gfgt.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gfilter.ado,0,1
fmwww.bc.edu/repec/bocode/_/_gfilter7.ado,0,1
fmwww.bc.edu/repec/bocode/_/_gfirst.ado,0,0
fmwww.bc.edu/repec/bocode/_/_gfoy.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ggevaluator.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ggini.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ggmean.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ggreg.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ggroup2.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ghalf.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ghmean.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ghmm.ado,0,0
fmwww.bc.edu/repec/bocode/_/_ghmmss.ado,0,0
