package,version,version_date,proxied
asdoc,2.3.9.5,2026-04-07T07:57:29Z,
asgen,2.0,2026-04-07T07:57:29Z,
ashell,1.0,2026-04-07T07:57:29Z,
asl_norm,1.0.3,2026-04-07T07:57:29Z,
asreg,4.8,2026-04-07T07:57:29Z,
asrol,20240306,2026-04-07T07:57:29Z,
assertky,1.2.4,2026-04-07T07:57:29Z,
astile,3.2.2,2026-04-07T07:57:29Z,
astx,20170425,2026-04-07T07:57:29Z,
ate_pct,1.0.0,2026-04-07T07:57:29Z,
atkplot,20000920,2026-04-07T07:57:29Z,
attcic,1.0.1,2026-04-07T07:57:29Z,
attregtest,2.0.1,2026-04-07T07:57:29Z,
audit_cc,1.0.2,2026-04-07T07:57:29Z,
auto_factor,1.0.1,2026-04-07T07:57:29Z,
autofill,1.0,2026-04-07T07:57:29Z,
autofmt,1.0.0,2026-04-07T07:57:29Z,
autolog,1.0,2026-04-07T07:57:29Z,
autorename,1.0.1,2026-04-07T07:57:29Z,
autosum,20180806,2026-04-07T07:57:29Z,
avar,1.0.07,2026-04-07T07:57:29Z,
avciplot,1.0.1,2026-04-07T07:57:29Z,
avg_effect,20101029,2026-04-07T07:57:29Z,
avplot2,,2026-04-07T07:57:29Z,
avplot3,20021213,2026-04-07T07:57:29Z,
avplots4,1.0.0,2026-04-07T07:57:29Z,
b1x2,4.1.0,2026-04-07T07:57:29Z,
babibplot,20171105,2026-04-07T07:57:29Z,
backrasch,20050612,2026-04-07T07:57:29Z,
backup,1.4,2026-04-07T07:57:29Z,
bacondecomp,1.0.5,2026-04-07T07:57:29Z,
baiduweather,20250618,2026-04-07T07:57:29Z,
baing,0.8,2026-04-07T07:57:29Z,
balancetable,5.0,2026-04-07T07:57:29Z,
bandplot,1.0.2,2026-04-07T07:57:29Z,
bap,0.1,2026-04-07T07:57:29Z,
baplot,20140613,2026-04-07T07:57:29Z,
barplot,,2026-04-07T07:57:29Z,
barplot2,,2026-04-07T07:57:29Z,
basetable,0.3.1,2026-04-07T07:57:29Z,
batcher,2.0.0,2026-04-07T07:57:29Z,
batplot,20210323,2026-04-07T07:57:29Z,
bayerhanck,20241006,2026-04-07T07:57:29Z,
bayeshmc,4.3.2,2026-04-07T07:57:29Z,
bayesmixedlogit,1.0.1,2026-04-07T07:57:29Z,
bayesmixedlogitwtp,1.0.0,2026-04-07T07:57:29Z,
bayesmlogit,1.0.0,2026-04-07T07:57:29Z,
bbandits,20260307,2026-04-07T07:57:29Z,
bcii,20090602,2026-04-07T07:57:29Z,
bcoeff,1.2.0,2026-04-07T07:57:29Z,
bcoeffs,1.2.0,2026-04-07T07:57:29Z,
bcss,1.0.2,2026-04-07T07:57:29Z,
bcstats,1.3.1,2026-04-07T07:57:29Z,
bctobit,1.0.0,2026-04-07T07:57:29Z,
bcuse,1.0.5,2026-04-07T07:57:29Z,
bdiff,1.04,2026-04-07T07:57:29Z,
bdiffv,20250823,2026-04-07T07:57:29Z,
beamplot,2.0.2,2026-04-07T07:57:29Z,
benford,0.2,2026-04-07T07:57:29Z,
betacoef,1.0.3,2026-04-07T07:57:29Z,
betafit,1.1.7,2026-04-07T07:57:29Z,
betaprior,20110228,2026-04-07T07:57:29Z,
betterbar,1.5,2026-04-07T07:57:29Z,
bf,20251022,2026-04-07T07:57:29Z,
bfmcorr,0.0.0.9000,2026-04-07T07:57:29Z,
bgshade,1.0,2026-04-07T07:57:29Z,
bgtest,1.03,2026-04-07T07:57:29Z,
bhapkar,1.0.0,2026-04-07T07:57:29Z,
bhatt,1.0,2026-04-07T07:57:29Z,
biasepi,20190428,2026-04-07T07:57:29Z,
biastest,20250718,2026-04-07T07:57:29Z,
bibrep,1.0.0,2026-04-07T07:57:29Z,
bic,1.0,2026-04-07T07:57:29Z,
bicdrop1,1.1,2026-04-07T07:57:29Z,
bidensity,0.9.0,2026-04-07T07:57:29Z,
bigtab,20030609,2026-04-07T07:57:29Z,
bihist,1.3,2026-04-07T07:57:29Z,
bimap,2.3,2026-04-07T07:57:29Z,
bineq,20160410,2026-04-07T07:57:29Z,
binomci,1.0.0,2026-04-07T07:57:29Z,
binscatter,7.02,2026-04-07T07:57:29Z,
binscatterhist,4.0,2026-04-07T07:57:29Z,
bioprobit,1.11,2026-04-07T07:57:29Z,
biplot,20050117,2026-04-07T07:57:29Z,
biplotvlab,1.0.1,2026-04-07T07:57:29Z,
bipolar,1.2.0,2026-04-07T07:57:29Z,
bipolate,1.3,2026-04-07T07:57:29Z,
birthsim,1.0,2026-04-07T07:57:29Z,
bitobit,20070811,2026-04-07T07:57:29Z,
bivpoisson,1.0.1,2026-04-07T07:57:29Z,
bivpoisson_ate,1.0.0,2026-04-07T07:57:29Z,
bking,1.0.4,2026-04-07T07:57:29Z,
bkrosenblatt,1.0.0,2026-04-07T07:57:29Z,
blandaltman,1.1,2026-04-07T07:57:29Z,
blinding,1.0.0,2026-04-07T07:57:29Z,
blindschemes,20200807,2026-04-07T07:57:29Z,
blist,20050731,2026-04-07T07:57:29Z,
blockboot,1.0,2026-04-07T07:57:29Z,
blogit2,3.1.0,2026-04-07T07:57:29Z,
blood_glucose,20250524,2026-04-07T07:57:29Z,
blp,2.0,2026-04-07T07:57:29Z,
bmi,1.0.0,2026-04-07T07:57:29Z,
bmjcip,20221231,2026-04-07T07:57:29Z,
bmp2dta,1.1,2026-04-07T07:57:29Z,
bmtest,1.0.0,2026-04-07T07:57:29Z,
bnormpdf,1.1.0,2026-04-07T07:57:29Z,
boost,1.3.5,2026-04-07T07:57:29Z,
boottest,4.5.0,2026-04-07T07:57:29Z,
boundedur,1.0.0,2026-04-07T07:57:29Z,
box,1.0,2026-04-07T07:57:29Z,
box_logscale,1.0,2026-04-07T07:57:29Z,
boxpanel,0.1.0,2026-04-07T07:57:29Z,
boxtid,1.5.3,2026-04-07T07:57:29Z,
bpagan,,2026-04-07T07:57:29Z,
bpass,,2026-04-07T07:57:29Z,
bpmedian,20131013,2026-04-07T07:57:29Z,
brain,20210903,2026-04-07T07:57:29Z,
brewscheme,1.0.0,2026-04-07T07:57:29Z,
brglm,20171122,2026-04-07T07:57:29Z,
brmunid,11.3,2026-04-07T07:57:29Z,
bronch,20110728,2026-04-07T07:57:29Z,
bsens,20140808,2026-04-07T07:57:29Z,
bsopm,1.0,2026-04-07T07:57:29Z,
bspline,20220821,2026-04-07T07:57:29Z,
bta2score,1.2,2026-04-07T07:57:29Z,
btobit,20100722,2026-04-07T07:57:29Z,
buckley,9.0.1,2026-04-07T07:57:29Z,
bugsdat,20060728,2026-04-07T07:57:29Z,
bugwrite,20091109,2026-04-07T07:57:29Z,
bumparea,1.4,2026-04-07T07:57:29Z,
bumpline,1.4,2026-04-07T07:57:29Z,
bunching,1.5,2026-04-07T07:57:29Z,
bundle,20170314,2026-04-07T07:57:29Z,
butterworth,1.0.0,2026-04-07T07:57:29Z,
bygap,20030521,2026-04-07T07:57:29Z,
byhist,1.3,2026-04-07T07:57:29Z,
bynote,20080508,2026-04-07T07:57:29Z,
bys,1.1.0,2026-04-07T07:57:29Z,
bystore,1.0.0,2026-04-07T07:57:29Z,
byvar,2.0.3,2026-04-07T07:57:29Z,
c_ml_stata_cv,20250610,2026-04-07T07:57:29Z,
cacheit,0.0.0.9000,2026-04-07T07:57:29Z,
cal,1.0,2026-04-07T07:57:29Z,
calibest,2.2,2026-04-07T07:57:29Z,
calibr,20000920,2026-04-07T07:57:29Z,
calibrate,2.1,2026-04-07T07:57:29Z,
calinski,20160627,2026-04-07T07:57:29Z,
calipmatch,1.0.0,2026-04-07T07:57:29Z,
callsado,1.0.4,2026-04-07T07:57:29Z,
canon,1.0.7,2026-04-07T07:57:29Z,
capass,0.2,2026-04-07T07:57:29Z,
care,20201006,2026-04-07T07:57:29Z,
carryforward,4.5,2026-04-07T07:57:29Z,
cart,20061017,2026-04-07T07:57:29Z,
case2tex,1.7.4,2026-04-07T07:57:29Z,
