A1	A2	A3	A4	A5	A6	A7	A8
760.259	171.72	90.072	63.003	86.67	229.642	199.74	717.98
779.735	166.067	87.722	70.414	86.956	228.846	201.58	706.309
755.926	167.053	88.848	70.728	88.126	221.578	201.175	692.861
782.816	168.597	94.644	66.766	89.296	228.444	209.233	709.266
792.152	176.059	95.171	68.515	89.628	229.005	217.818	719.274
794.503	180.951	99.401	75.755	90.941	230.134	216.204	701.556
833.561	229.738	104.768	72.187	96.678	239.291	222.446	719.375
871.599	231.57	105.672	73.753	100.018	261.767	228.78	733.441
869.218	257.396	105.089	71.228	99.15	262.239	222.728	742.807
888.996	249.607	103.668	71.812	99.297	251.587	214.442	749.916
933.503	266.5	104.162	72.768	103.4	256.674	219.421	746.544
976.092	285.176	107.399	70.826	101.014	248.193	216.18	776.518
972.069	301.062	104.942	70.065	101.337	242.86	214.897	767.864
979.416	294.862	110.79	73.924	100.243	232.78	211.24	760.667
1003.185	283.089	118.095	72.823	101.032	232.32	210.189	763.627
1016.595	291.849	113.519	73.784	101.813	229.286	218.495	754.437
992.722	279.228	112.461	72.093	100.126	227.458	212.209	747.627
988.259	267.991	110.563	71.695	102.785	236.184	220.484	738.733
1003.532	255.167	107.069	70.867	99.803	230.447	212.228	716.201
1004.482	267.19	108.238	74.318	98.985	231.745	215.495	723.649
984.766	269.486	110.271	77.358	101.186	239.921	220.62	728.702
1014.604	269.951	114.075	80.434	102.079	235.228	226.71	739.623
1039.996	293.847	113.529	82.182	109.075	237.751	230.985	765.013
1055.175	309.399	112.273	85.036	112.647	239.239	237.805	785.161
1049.038	339.112	112.284	77.137	112.055	244.363	247.697	805.322
1058.214	332.738	110.789	76.933	110.458	244.604	253.883	799.801
1096.65	330.274	112.887	79.475	110.286	238.333	252.825	807.469
1093.628	337.602	115.667	80.37	113.615	236.25	253.086	805.472
1151.641	341.607	121.942	78.133	116.159	243.151	259.811	845.051
1182.755	364.317	124.449	79.608	118.256	255.332	261.243	859.623
1223.524	396.206	125.865	80.926	119.577	260.91	268.752	845.915
1279.817	476.095	130.667	79.073	122.517	263.469	275.065	876.241
1278.702	454.039	131.877	77.42	123.824	266.162	272.181	872.754
1097.521	434.38	125.587	86.11	121.063	278.177	264.66	892.345
1216.431	458.793	128.149	86.962	118.75	278.082	248.518	899.044
1187.426	460.362	131.966	92.254	117.709	269.676	249.538	912.322
