2608.11	3155.12
2716.7	3229.03
2652.8	3229.01
2663.93	3207.17
2693.21	3271.53
2765.68	3320.08
2729.47	3317.17
2745.24	3322.33
2746.74	3323.06
2721.68	3320.24
2656.48	3298.11
2471.5	3252.96
2574.98	3209.28
2610.81	3252.53
2636.77	3245.76
2655.89	3292.52
2628.8	3291.15
2609.15	3285.53
2614.56	3257.57
2621.6	3271.71
2590.06	3267.92
2601.24	3249.33
2625.1	3253.11
2632.75	3268.78
2619.07	3277.08
2630.75	3282.98
2616.16	3262.09
2601.93	3245.52
2616.54	3252.54
2646.21	3288.08
2647.73	3265.86
2658.32	3277.4
2651.44	3281.64
2644.13	3250.34
2682.35	3251.23
2702.42	3249.73
2728.06	3259.2
2748.16	3268.33
2719.65	3284.5
2704.67	3326.61
2754.21	3400.76
